"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"ABANO TERME","PADOVA",436,7598,2312,4.21,73.44,22.35,16706,10593,134,10459,63.41,"CDX",5286,11.793304,45.358992,28,5
"ADRIA","ROVIGO",367,7159,2249,3.75,73.24,23.01,16865,10132,169,9963,60.08,"CDX",4910,12.045339,45.056876,29,5
"AFFI","VERONA",30,964,194,2.53,81.14,16.33,1931,1223,16,1207,63.34,"CDX",770,10.776696,45.557034,23,5
"AGNA","PADOVA",30,1560,184,1.69,87.94,10.37,2688,1814,14,1800,67.49,"CDX",1376,11.965334,45.175376,28,5
"AGORDO","BELLUNO",48,1514,389,2.46,77.6,19.94,3861,2030,21,2009,52.58,"CDX",1125,12.047485,46.302965,25,5
"AGUGLIARO","VICENZA",15,653,100,1.95,85.03,13.02,1347,808,15,793,59.99,"CDX",553,11.580301,45.32473,24,5
"ALBAREDO D'ADIGE","VERONA",64,2395,297,2.32,86.9,10.78,4272,2872,82,2790,67.23,"CDX",2098,11.291572,45.298311,23,5
"ALBETTONE","VICENZA",41,1073,109,3.35,87.74,8.91,1961,1261,19,1242,64.3,"CDX",964,11.59689,45.359181,24,5
"ALBIGNASEGO","PADOVA",473,10991,3124,3.24,75.34,21.41,21230,14969,166,14803,70.51,"CDX",7867,11.868078,45.346609,28,5
"ALLEGHE","BELLUNO",12,515,49,2.08,89.41,8.51,1238,600,10,590,48.47,"CDX",466,12.036687,46.404109,25,5
"ALONTE","VICENZA",28,696,175,3.11,77.42,19.47,1379,923,10,913,66.93,"CDX",521,11.432261,45.362505,24,5
"ALPAGO","BELLUNO",135,2651,527,4.07,80.02,15.91,6594,3416,47,3369,51.8,"CDX",2124,12.364053,46.130063,25,5
"ALTAVILLA VICENTINA","VICENZA",267,4734,901,4.52,80.21,15.27,9698,6062,78,5984,62.51,"CDX",3833,11.47744,45.504413,24,5
"ALTISSIMO","VICENZA",55,1042,82,4.66,88.38,6.96,2048,1208,19,1189,58.98,"CDX",960,11.246822,45.614902,24,5
"ALTIVOLE","TREVISO",157,3092,329,4.39,86.42,9.2,6084,3663,28,3635,60.21,"CDX",2763,11.953402,45.749711,26,5
"ANGIARI","VERONA",48,989,191,3.91,80.54,15.55,2030,1269,28,1241,62.51,"CDX",798,11.266006,45.222235,23,5
"ANGUILLARA VENETA","PADOVA",128,1817,293,5.72,81.19,13.09,3832,2335,48,2287,60.93,"CDX",1524,11.892113,45.145649,28,5
"ANNONE VENETO","VENEZIA",93,1464,232,5.2,81.83,12.97,3735,1865,27,1838,49.93,"CDX",1232,12.700757,45.765259,27,5
"ARCADE","TREVISO",127,1991,324,5.2,81.53,13.27,3789,2505,31,2474,66.11,"CDX",1667,12.223967,45.781879,26,5
"ARCOLE","VERONA",94,2500,447,3.09,82.21,14.7,5021,3120,44,3076,62.14,"CDX",2053,11.298696,45.365411,23,5
"ARCUGNANO","VICENZA",195,3629,767,4.25,79.05,16.71,6885,4693,40,4653,68.16,"CDX",2862,11.53444,45.477969,24,5
"ARIANO NEL POLESINE","ROVIGO",50,1576,380,2.49,78.56,18.94,3687,2117,58,2059,57.42,"CDX",1196,12.204141,44.938312,29,5
"ARQUA' PETRARCA","PADOVA",17,858,136,1.68,84.87,13.45,1633,1040,11,1029,63.69,"CDX",722,11.721965,45.268635,28,5
"ARQUA' POLESINE","ROVIGO",43,1036,220,3.31,79.75,16.94,2360,1338,28,1310,56.69,"CDX",816,11.738194,45.016225,29,5
"ARRE","PADOVA",19,945,190,1.65,81.89,16.46,1796,1189,21,1168,66.2,"CDX",755,11.935712,45.212714,28,5
"ARSIE'","BELLUNO",40,997,194,3.25,80.99,15.76,4165,1260,15,1245,30.25,"CDX",803,11.743592,45.977264,25,5
"ARSIERO","VICENZA",49,1236,313,3.07,77.35,19.59,2916,1648,29,1619,56.52,"CDX",923,11.308903,45.839551,24,5
"ARZERGRANDE","PADOVA",81,2293,469,2.85,80.65,16.5,4103,2909,31,2878,70.9,"CDX",1824,12.061829,45.265246,28,5
"ARZIGNANO","VICENZA",588,9972,1573,4.85,82.19,12.96,19983,12379,132,12247,61.95,"CDX",8399,11.337952,45.525521,24,5
"ASIAGO","VICENZA",113,2940,452,3.22,83.88,12.9,6039,3619,59,3560,59.93,"CDX",2488,11.506902,45.929103,24,5
"ASIGLIANO VENETO","VICENZA",11,413,46,2.34,87.87,9.79,733,487,9,478,66.44,"CDX",367,11.458296,45.311376,24,5
"ASOLO","TREVISO",210,3570,527,4.88,82.89,12.24,7941,4421,58,4363,55.67,"CDX",3043,11.910448,45.788737,26,5
"AURONZO DI CADORE","BELLUNO",142,1266,167,9.02,80.38,10.6,3063,1644,24,1620,53.67,"CDX",1099,12.339036,46.56512,25,5
"BADIA CALAVENA","VERONA",18,1266,100,1.3,91.47,7.23,2181,1416,19,1397,64.92,"CDX",1166,11.15391,45.574721,23,5
"BADIA POLESINE","ROVIGO",165,3896,755,3.43,80.9,15.68,8588,5043,70,4973,58.72,"CDX",3141,11.497355,45.092798,29,5
"BAGNOLI DI SOPRA","PADOVA",50,1344,281,2.99,80.24,16.78,2845,1743,37,1706,61.27,"CDX",1063,11.898295,45.181482,28,5
"BAGNOLO DI PO","ROVIGO",25,438,143,4.13,72.28,23.6,1069,642,17,625,60.06,"CDX",295,11.503016,44.999378,29,5
"BAONE","PADOVA",57,1297,473,3.12,70.99,25.89,2812,1876,23,1853,66.71,"CDX",824,11.681025,45.25251,28,5
"BARBARANO MOSSANO","VICENZA",119,2603,437,3.77,82.4,13.83,5188,3245,50,3195,62.55,"CDX",2166,11.564689,45.408901,24,5
"BARBONA","PADOVA",14,288,40,4.09,84.21,11.7,602,359,8,351,59.63,"CDX",248,11.68084,45.110462,28,5
"BARDOLINO","VERONA",90,2684,566,2.69,80.36,16.95,5738,3428,55,3373,59.74,"CDX",2118,10.696172,45.538987,23,5
"BASSANO DEL GRAPPA","VICENZA",1097,15310,4878,5.15,71.93,22.92,37597,21941,302,21639,58.36,"CDX",10432,11.707212,45.774091,24,5
"BATTAGLIA TERME","PADOVA",66,1293,609,3.35,65.7,30.95,3151,2036,27,2009,64.61,"CDX",684,11.777692,45.294844,28,5
"BELFIORE","VERONA",28,1325,222,1.78,84.13,14.1,2583,1640,23,1617,63.49,"CDX",1103,11.217142,45.374529,23,5
"BELLUNO","BELLUNO",778,11880,4315,4.58,69.99,25.42,33562,17510,296,17214,52.17,"CDX",7565,12.219159,46.140659,25,5
"BERGANTINO","ROVIGO",12,1052,173,0.97,85.04,13.99,2275,1279,30,1249,56.22,"CDX",879,11.253177,45.069209,29,5
"BEVILACQUA","VERONA",23,655,127,2.86,81.37,15.78,1416,825,14,811,58.26,"CDX",528,11.391871,45.216008,23,5
"BOARA PISANI","PADOVA",20,1116,165,1.54,85.78,12.68,2117,1353,20,1333,63.91,"CDX",951,11.799001,45.126194,28,5
"BOLZANO VICENTINO","VICENZA",170,2906,484,4.78,81.63,13.6,5628,3627,22,3605,64.45,"CDX",2422,11.618923,45.5983,24,5
"BONAVIGO","VERONA",34,940,139,3.05,84.46,12.49,1766,1174,42,1132,66.48,"CDX",801,11.295797,45.246374,23,5
"BORCA DI CADORE","BELLUNO",12,313,77,2.99,77.86,19.15,778,436,15,421,56.04,"CDX",236,12.178532,46.436129,25,5
"BORGO VALBELLUNA","BELLUNO",254,5242,1173,3.81,78.6,17.59,15188,6893,107,6786,45.38,"CDX",4069,12.094704,46.028491,25,5
"BORGO VENETO","PADOVA",116,3008,454,3.24,84.07,12.69,6274,3686,57,3629,58.75,"CDX",2554,11.542756,45.219206,28,5
"BORGORICCO","PADOVA",185,3752,608,4.07,82.55,13.38,7317,4693,60,4633,64.14,"CDX",3144,11.96894,45.535043,28,5
"BORSO DEL GRAPPA","TREVISO",166,2495,365,5.49,82.45,12.06,5063,3086,31,3055,60.95,"CDX",2130,11.783165,45.83174,26,5
"BOSARO","ROVIGO",23,565,90,3.39,83.33,13.27,1092,701,7,694,64.19,"CDX",475,11.773361,45.002885,29,5
"BOSCHI SANT'ANNA","VERONA",16,656,82,2.12,87,10.88,1200,776,14,762,64.67,"CDX",574,11.366641,45.207666,23,5
"BOSCO CHIESANUOVA","VERONA",28,1712,202,1.44,88.16,10.4,2959,1991,16,1975,67.29,"CDX",1510,11.046555,45.653813,23,5
"BOVOLENTA","PADOVA",61,1707,348,2.88,80.67,16.45,3045,2160,22,2138,70.94,"CDX",1359,11.953835,45.267965,28,5
"BOVOLONE","VERONA",464,5810,876,6.49,81.26,12.25,12360,7374,110,7264,59.66,"CDX",4934,11.116663,45.264073,23,5
"BREDA DI PIAVE","TREVISO",228,3368,547,5.5,81.29,13.2,6929,4235,46,4189,61.12,"CDX",2821,12.358818,45.718124,26,5
"BREGANZE","VICENZA",249,3625,951,5.16,75.13,19.71,7620,4938,59,4879,64.8,"CDX",2674,11.579278,45.69876,24,5
"BRENDOLA","VICENZA",163,2816,520,4.66,80.48,14.86,5641,3569,36,3533,63.27,"CDX",2296,11.453544,45.465248,24,5
"BRENTINO BELLUNO","VERONA",15,537,97,2.31,82.74,14.95,1083,676,11,665,62.42,"CDX",440,10.881673,45.670469,23,5
"BRENZONE SUL GARDA","VERONA",33,969,234,2.67,78.4,18.93,2131,1279,22,1257,60.02,"CDX",735,10.76557,45.695037,23,5
"BRESSANVIDO","VICENZA",66,1546,223,3.6,84.25,12.15,2743,1869,18,1851,68.14,"CDX",1323,11.63766,45.639865,24,5
"BROGLIANO","VICENZA",89,1871,244,4.04,84.89,11.07,3325,2255,28,2227,67.82,"CDX",1627,11.332601,45.590828,24,5
"BRUGINE","PADOVA",144,3283,564,3.61,82.26,14.13,5900,4134,61,4073,70.07,"CDX",2719,11.990504,45.290389,28,5
"BUSSOLENGO","VERONA",323,7544,1590,3.42,79.77,16.81,15583,9703,135,9568,62.27,"CDX",5954,10.84599,45.46632,23,5
"BUTTAPIETRA","VERONA",70,2793,526,2.07,82.41,15.52,5376,3483,41,3442,64.79,"CDX",2267,11.002795,45.342883,23,5
"CADONEGHE","PADOVA",333,5686,2143,4.08,69.66,26.26,12380,8377,112,8265,67.67,"CDX",3543,11.918127,45.457343,28,5
"CAERANO DI SAN MARCO","TREVISO",117,3176,465,3.11,84.51,12.37,6553,3870,44,3826,59.06,"CDX",2711,11.997252,45.782714,26,5
"CALALZO DI CADORE","BELLUNO",43,810,146,4.3,81.08,14.61,1778,1042,14,1028,58.61,"CDX",664,12.326103,46.477694,25,5
"CALDIERO","VERONA",97,2869,532,2.77,82.02,15.21,5948,3593,31,3562,60.41,"CDX",2337,11.169402,45.406441,23,5
"CALDOGNO","VICENZA",188,4809,983,3.14,80.42,16.44,9697,6148,76,6072,63.4,"CDX",3826,11.512864,45.611209,24,5
